B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,LocationX
-81,-79,-65,-91,-83,,-93,,-82,-89,-80,-96,,,-88,,-86,-78,-91,2
-89,-86,,-86,-95,-91,-86,-72,,-93,-75,,,,-74,,-78,,-81,3
-91,,,,-94,-88,,-82,-87,-94,,,-96,-96,-76,,-89,,,2
-81,-72,-84,,-87,-75,-79,,-86,-86,,,-81,-86,,-79,-77,,,2
-85,,-89,-75,,,-76,-71,-86,-84,-73,-93,-84,-90,-84,-79,-84,,,2
,,-97,-90,,,,,-100,-103,-92,-92,,,-94,,-99,-99,-97,0
-84,-78,-65,-87,-84,,-90,,-80,-85,-80,-90,,,-93,,-85,-84,-90,2
-81,,-82,-83,-88,-82,,-81,-78,-80,,,-92,-99,-93,-86,-91,,,3
-95,-89,-80,-89,-78,,,,-92,-88,-93,,-89,-104,-88,-80,-90,-91,,0
-80,-72,-82,,-85,-73,-81,,-90,-88,,,-83,-86,,-81,-76,,,2
-86,-76,-85,-76,-84,,,,-86,-77,-80,-88,-94,-90,-78,-76,-78,,,1
,-94,,-99,-96,-96,-88,,,-94,-90,,,,,-94,-103,,,0
-87,-76,-86,,-85,-78,-77,-82,,-82,-80,,-94,,-81,,-79,-88,,1
-94,,,,-96,-90,,-81,-88,-94,,,-97,-94,-79,,-82,,,2
,-88,,-86,-95,,,-78,-94,-91,-83,-95,-94,,-84,-95,-84,-94,-80,1
-85,-75,-84,-76,-84,,,,-87,-78,-80,-89,-94,-90,-78,-77,-78,,,1
,-90,,-84,-80,-93,,-88,-98,-81,-86,,-94,,-88,-85,,-92,,0
,-92,-80,-88,,-85,-89,,-99,-89,-96,-93,,,-92,-92,,,,0
,-94,-95,-91,,-84,-90,,-99,-88,-95,-90,,,-88,-93,,,,0
-90,-86,,-90,,-86,,-87,-93,-87,,-89,-88,-96,-77,,-88,-87,,3
-94,-90,-97,-88,-90,-88,-84,,-96,-89,-92,-90,-96,,-94,-90,-98,,,0
,-86,,-79,-93,,,-77,-95,-86,-87,-94,-96,,-82,-92,-100,-91,-80,1
,-83,,-72,-89,-73,,-81,-87,-79,-79,,-88,,-86,,-87,-84,-81,1
-87,,-92,-75,,,-76,-71,-83,-85,-75,-96,-82,-89,-82,-78,-84,,,2
-90,-75,-95,,-89,,-91,-73,-90,-84,-71,,-88,-87,,-76,-83,-84,,2
,-80,,-78,-92,-74,,-78,-87,-80,-73,,-87,,-82,,,-83,-82,1
-88,,-89,-77,,,-76,-71,-91,-86,-72,-94,-81,-90,-84,-80,-84,,,2
-101,-90,-80,-90,-76,,,,-90,-87,-93,,-87,-100,-88,-81,-93,-89,,0
-82,,-82,-85,-87,-82,,-83,-77,-79,,,-95,-98,-94,-85,-87,,,3
,,,,,,,,,,,,,,,,,-90,,3
,-79,,-77,-90,-73,,-81,-84,-79,-74,,-87,,-81,,,-83,-82,1
-90,,-85,-84,-84,-81,,-81,-80,-77,,,-93,-95,-89,-87,-79,,,3
-79,,-80,-86,-82,-81,-83,-85,-76,-85,,,-92,-98,-93,-84,-85,,,3
,-89,,-83,-95,,,-78,-87,-91,-83,-98,-95,,-83,-90,-101,-98,-78,1
-93,,,,-97,-87,,-82,-88,-94,,,-96,-94,-77,,-81,,,2
,-85,,-94,-83,-89,,-84,-97,-87,-84,,-95,,-87,-88,,-91,,0
-93,-86,,-88,,-88,,-86,-84,-84,,-90,-87,-94,-79,,-86,-87,,3
-85,-84,,-86,-90,-88,-85,-80,,-91,-80,,,,-70,,-75,,-80,3
,-90,,-86,-84,-89,,-93,-96,-83,-88,,-92,,-90,-93,,-92,,0
-93,,,,-95,-90,,-83,-91,-92,,,-97,-95,-82,,-81,,,2
,-97,-97,-90,,,-81,,-98,-89,-93,-101,,,-99,-94,-100,-101,-101,0
-96,-89,-101,-90,-90,-91,-84,,-99,-89,-91,-94,-103,,,-91,,-93,,0
,-91,-96,-88,,-85,-89,,-99,-86,-95,-92,,,-92,,,,,0
,-94,,-76,-94,,,-79,-91,-92,-86,-94,,,-81,-87,-85,-89,,1
-90,-105,,-87,-76,-86,,,-90,-92,-87,,-89,-99,-95,-81,-93,-97,,0
-89,-85,,-87,-94,-82,-79,,,-90,-74,-95,-85,,-70,-78,-90,,-76,3
-85,-75,-85,-76,-85,,,,-86,-78,-80,-90,-94,-90,-78,-76,-78,,,1
-89,,-85,-70,,,-77,-82,-83,-82,-80,,-90,-91,-82,-79,-80,,-79,1
-97,-88,-79,-95,-77,,,,-90,-87,-93,,-88,-93,-87,-81,-85,-91,,0
,-89,,-86,,-84,-86,,,-87,-83,,,,,,,,-79,3
-79,,-78,-80,-82,-76,-83,-81,-76,-89,,,-101,-96,-93,-82,-84,,,3
-87,-77,-86,,-85,-78,-77,-85,,-82,-83,,-94,,-81,,-80,-90,,1
,-87,,-85,-82,-90,,-87,-94,-80,-84,,-90,,-90,-84,,-97,,0
-89,-84,,-88,-96,-81,-79,,,-88,-73,-93,-83,,-70,-78,-90,,-76,3
-87,,-75,-91,-79,-88,,,-89,-88,,-77,-90,-92,-89,-79,-89,-91,,1
-84,-72,-89,,-93,,-88,-74,-85,-88,-70,,-84,-88,,-80,-82,-88,,2
,-91,,-86,-84,-90,,-88,-94,-85,-88,,-93,,-89,-91,,-92,,0
,-80,,-81,-91,,,-76,-85,,-84,,,,-83,-81,-83,-85,-81,1
-84,-72,-89,,-91,,-88,-74,-84,-88,-70,,-84,-87,,-80,-83,-87,,2
-90,-84,,-86,-93,-88,-85,-74,,-93,-79,,,,-73,,-74,,-82,3
-91,-89,-84,-88,-78,,,,-91,-88,-95,,-89,-103,-89,-87,-90,-85,,0
-89,,-71,,,,,,,,,,,,,,-88,,,1
-84,-80,-65,-89,-84,,-93,,-79,-91,-89,-93,,,-95,,-84,-86,-92,2
,-88,,-81,-95,,,-78,-87,-91,-83,-93,-100,,-83,-93,-99,-94,-78,1
,-77,-84,-83,-88,,-87,,,-80,-83,-88,-91,-89,-77,-77,-77,,,1
,,,,,,,,,,,,,,,,,,,1
-85,-80,-66,-90,-82,,-90,,-76,-86,-88,-92,,,-95,,-84,-86,-90,2
,,,-80,-95,,,-78,-87,-90,-83,-92,-95,,-83,-97,-97,-94,-80,1
,-74,,-80,-88,-73,,-79,-92,-81,-77,,-84,,-81,,,-83,-81,1
,-75,,,,,-91,,,,-88,-82,,,,,,-89,-91,3
-96,-92,-81,-94,-82,,,,-90,-89,-90,,-90,-101,-85,-81,-91,-93,,0
,-77,,-77,-91,-73,,-79,-88,-81,-74,,-86,,-82,,,-83,-82,1
-79,-71,-82,,-85,-74,-79,,-88,-87,,,-83,-86,,-81,-76,,,2
-88,,-85,-71,,,-77,-82,-83,-82,-81,,-92,-91,-81,-80,-80,,-80,1
-84,-80,-67,-92,-85,,-92,,-78,-87,-83,-92,,,-92,,-85,-84,-87,2
-102,-101,-100,-91,-93,-91,-79,,-96,,-95,-94,-97,,-97,-95,-99,,,0
-87,-74,-93,,-93,,-83,-71,-88,-84,-73,,-86,-86,,-79,-83,-84,,2
,-81,,-77,-96,,,-81,-91,-85,-85,-95,,,-83,-89,-87,-87,,1
-84,,-91,-75,,,-77,-71,-82,-86,-73,-96,-86,-88,-82,-77,-82,,,2
-85,-79,-66,-89,-83,,-91,,-77,-86,-89,-92,,,-96,,-85,-84,-93,2
-90,-80,,-87,-94,-85,-82,,,-83,-70,-94,-80,,-72,-77,-95,,-76,3
,-92,-98,-89,,-85,-89,,-101,-88,-100,-93,,,-93,-89,,,,0
-84,,-85,-87,-84,-81,,-84,-78,-81,,,-89,-97,-94,-86,-87,,,3
-88,-86,,-92,-97,-83,-87,-83,,-93,-77,,,,-72,,-74,,-81,3
-88,,-91,-76,,,-76,-71,-85,-86,-73,-96,-81,-90,-83,-80,-83,,,2
-87,,-72,-91,-82,-90,,,-84,-87,,-78,-88,-91,-91,-78,-90,-87,,1
-95,,,,-95,-92,,-79,-86,-93,,,-96,-95,-79,,-82,,,2
-95,,,,-93,-89,,-80,-87,-93,,,-98,-95,-80,,-82,,,2
-94,-89,-94,-88,-90,-89,-87,,-104,-90,-95,-93,-98,,,-90,,-95,,0
,-90,,-87,-83,-90,,-89,-96,-80,-88,,-90,,-90,-101,,-92,,0
-84,,-93,,-86,-72,-79,,,-86,,,-83,-85,,-75,-76,,,2
-94,-94,-79,-84,-74,,,,-90,-88,-96,,-88,-98,-87,-81,-89,-91,,0
